k,accuracy
1,98.61209964412811
3,98.77224199288256
5,98.68327402135232
7,98.59430604982207
9,98.54092526690391
11,98.55871886120997
13,98.52313167259787
15,98.38078291814946
17,98.34519572953737
19,98.29181494661921
21,98.16725978647686
